Full Address,Business Name,Years in Business,Phone,City,State,Zip,Population of Zip Code
"1021 E Washington St Phoenix, AZ",Apogee Mental Health Services,TBD,6026122927,Phoenix,AZ,85034,4825.0
"1598 W Willetta St Phoenix, AZ",Phoenix Mental Health Services,TBD,6232833058,Phoenix,AZ,85007,13555.0
"4545 N 36th St Ste 205 Phoenix, AZ",Marcann Mental Health Services,16,6028249309,Phoenix,AZ,85018,38268.0
"1717 W Northern Ave Phoenix, AZ",Valley Mental Health & Psychiatric Services,TBD,6028009056,Phoenix,AZ,85021,40026.0
"202 E Mcdowell Rd Phoenix, AZ",Western Mental Health & Restoration Services,TBD,6022933147,Phoenix,AZ,85004,11178.0
"3101 N Central Ave Phoenix, AZ",Aya Mental Health Consultant & Treatment Services,TBD,4803828309,Phoenix,AZ,85012,8880.0
"730 E Highland Ave Phoenix, AZ",Friendship Community Mental Health Center,31,6022416656,Phoenix,AZ,85014,26215.0
"1101 E Bell Rd Phoenix, AZ",Compass Mental Health,TBD,6022247050,Phoenix,AZ,85022,52488.0
"3839 N 3rd St Ste 104 Phoenix, AZ",Phoenix Mental Health and Wellness of Arizona,TBD,9289851495,Phoenix,AZ,85012,8880.0
"4600 E Washington St Ste 300 Phoenix, AZ",Foresight Mental Health,TBD,8885888995,Phoenix,AZ,85034,4825.0
"4202 N 44th St Ste 101 Phoenix, AZ",The Embers Recovery Phoenix Mental Health & Depression Treatment,TBD,6026989016,Phoenix,AZ,85018,38268.0
"7111 N 7th St Phoenix, AZ",Phoenix Institute For Psychotherapy - Mental Health Center,47,6028700991,Phoenix,AZ,85020,33934.0
"7600 N 15th St Phoenix, AZ",Mental Health Center of America | Phoenix,2,6022242277,Phoenix,AZ,85020,33934.0
"3404 W Cheryl Dr Ste A150 Phoenix, AZ",180 Mental Health and Wellness,2,4808635250,Phoenix,AZ,85051,45484.0
"4646 E Greenway Rd Phoenix, AZ",Ellie Mental Health,TBD,6027865742,Phoenix,AZ,85032,70447.0
"206 W Rock View Rd Phoenix, AZ",Rock View Recovery-Drug Alcohol & Mental Health Treatment,TBD,6025602252,Phoenix,AZ,85085,30132.0
"525 N 18th St Phoenix, AZ",Strategeic Mental Health,TBD,6025958352,Phoenix,AZ,85006,22081.0
"3118 W Thomas Rd Phoenix, AZ",El Paso Mental Health & Family Mentoring,TBD,6023884017,Phoenix,AZ,85017,44336.0
"9250 W Thomas Rd Phoenix, AZ",Balanced Mental Health of Arizona,TBD,6233491711,Phoenix,AZ,85037,53041.0
"11110 N Tatum Blvd Phoenix, AZ",Geriatric and Family Mental Health,TBD,6024320800,Phoenix,AZ,85028,18952.0
"16042 N 32nd St Phoenix, AZ",Journeys Mental Health & Wellness P,TBD,4805782060,Phoenix,AZ,85032,70447.0
"16601 N 40th St Phoenix, AZ",Richie Mental Health P,TBD,6235055476,Phoenix,AZ,85032,70447.0
"2550 W Union Hills Dr Phoenix, AZ",Living Hope Behavioral & Mental Health Care,TBD,5208201193,Phoenix,AZ,85027,38986.0
"5070 N 40th St Phoenix, AZ",Health Arizona Center For Mental,19,6029546700,Phoenix,AZ,85018,38268.0
"2501 N Hayden Rd, #103 Scottsdale, AZ",MOYA Mental Health Services,3,4808103009,Scottsdale,AZ,85257,29055.0
"410 E Southern Ave Tempe, AZ",Inland Empire Mental Health Services,TBD,4807974646,Tempe,AZ,85282,54501.0
"4313 W Markham St Little Rock, AR",Mental Health Service,TBD,5016869000,Little Rock,AR,72205,22275.0
"11215 Hermitage Rd Little Rock, AR",Addiction & Mental Health Service,TBD,5017258000,Little Rock,AR,72211,22836.0
"1100 N University Ave Ste 200 Little Rock, AR",Little Rock Community Mental Health Center,36,5016869300,Little Rock,AR,72207,10735.0
"11904 Kanis Road Suite H-8 Little Rock, AR",Rock Mental Health,1,5012488911,Little Rock,AR,72211,22836.0
"501 Woodlane St Little Rock, AR",Mental Health Council of Arkansas,TBD,5013727062,Little Rock,AR,72201,721.0
"211 S Main Benton, AR",Moonlight Mental Health,TBD,5016722339,Benton,AR,72015,27902.0
"2255 Sturgis Rd Conway, AR",Conway Behavioral Health Hospital,8,5018584977,Conway,AR,72034,49420.0
"161 Skunk Hollow Rd Conway, AR",Little Creek Behavioral Health,6,5016420968,Conway,AR,72032,35120.0
"2723 Foxcroft Rd Ste 311 Little Rock, AR",Back Porch Therapy Inc,20,5012274482,Little Rock,AR,72227,11800.0
"301 President Clinton Avenue, Suite B Little Rock, AR",Arkansas Problem Gambling Council,TBD,5014030063,Little Rock,AR,72201,721.0
"1301 Wilson Rd Little Rock, AR",Rice Clinic,38,5012250576,Little Rock,AR,72205,22275.0
"2 Lile Ct Ste 100 Little Rock, AR",Arkansas Epilepsy Program,32,5012275061,Little Rock,AR,72205,22275.0
"6501 W 12th St Little Rock, AR",Centers For Youth & Families,142,5016668686,Little Rock,AR,72204,31219.0
